Sub      HRUs 
1        2                   
2        2                   
3        2                   
4        2                   
5        2                   
6        2                   
7        1                   
8        3                   
9        2                   
10       2                   
11       2                   
12       1                   
13       2                   
14       2                   
15       3                   
16       2                   
17       1                   
18       1                   
19       2                   
20       2 
