reach(subbasin) number:       3


year    month    simu_value
1990       1      0.2961E-01
1990       2      0.1150E+01
1990       3      0.8702E+01
1990       4      0.3329E+02
1990       5      0.1665E+02
1990       6      0.1318E+01
1990       7      0.0000E+00
1990       8      0.0000E+00
1990       9      0.0000E+00
1990      10      0.0000E+00
1990      11      0.0000E+00
1990      12      0.2374E-02
1991       1      0.0000E+00
1991       2      0.0000E+00
1991       3      0.1044E+02
1991       4      0.4235E+02
1991       5      0.2619E+02
1991       6      0.8831E+01
1991       7      0.2960E-01
1991       8      0.0000E+00
1991       9      0.0000E+00
1991      10      0.0000E+00
1991      11      0.2712E+00
1991      12      0.2784E+01
1992       1      0.1182E+01
1992       2      0.3705E+01
1992       3      0.2471E+02
1992       4      0.5963E+02
1992       5      0.6156E+02
1992       6      0.3343E+02
1992       7      0.8225E+01
1992       8      0.3927E+00
1992       9      0.0000E+00
1992      10      0.0000E+00
1992      11      0.2120E+00
1992      12      0.3930E+01
1993       1      0.2729E+01
1993       2      0.2385E+01
1993       3      0.1220E+02
1993       4      0.9523E+01
1993       5      0.2772E+02
1993       6      0.1503E+02
1993       7      0.1681E+01
1993       8      0.0000E+00
1993       9      0.0000E+00
1993      10      0.0000E+00
1993      11      0.1066E+01
1993      12      0.2017E+02
1994       1      0.3221E+02
1994       2      0.4228E+02
1994       3      0.6501E+02
1994       4      0.5553E+02
1994       5      0.5278E+02
1994       6      0.2161E+02
1994       7      0.3847E+01
1994       8      0.0000E+00
1994       9      0.0000E+00
1994      10      0.0000E+00
1994      11      0.1159E+02
1994      12      0.1635E+02
1995       1      0.1199E+02
1995       2      0.1612E+02
1995       3      0.1208E+02
1995       4      0.2645E+02
1995       5      0.5326E+02
1995       6      0.3634E+02
1995       7      0.1455E+02
1995       8      0.1496E+01
1995       9      0.0000E+00
1995      10      0.0000E+00
1995      11      0.0000E+00
1995      12      0.0000E+00
